Movie Name,Language,Year,Seen,Size (MB),IMDB Rating,My Rating,Genre,
"Click" The Body Beautiful,English,1997,Yes,1404.06,3.40,5,Comedy,
"Comedy Now!" Russell Peters: Show Me the Funny,English,1997,Yes,349.47,6.90,NA,Comedy,
"The Penguins of Madagascar" Happy King Julien Day!,English,2009,Yes,930.04,7.10,7,Animation-Comedy-Family,
(500) Days of Summer,English,2009,Yes,698.95,8.00,7,Comedy-Drama-Romance,
10 Rillington Place,English,1971,Yes,700.28,7.50,7,Biography-Crime-Drama-Thriller,
10 Things I Hate About You,English,1999,Yes,700.24,6.90,7,Comedy-Romance,
10 000 BC,English,2008,Yes,699.62,4.90,7,Adventure-Fantasy,
100 Girls,English,2000,Yes,691.13,5.80,7,Comedy-Romance,
100% Love,Telugu,2011,No,696.12,7.40,NA,Comedy-Drama-Romance,
11:14,English,2003,No,699.10,7.30,NA,Comedy-Crime,
12 Angry Men,English,1957,Yes,699.22,8.90,10,Drama-Mystery,
127 Hours,English,2010,Yes,1251.74,7.90,8,Adventure-Biography-Drama-Thriller,
17 Again,English,2009,Yes,701.98,6.40,7,Comedy-Drama-Fantasy-Romance,
2 Fast 2 Furious,English,2003,Yes,800.51,5.20,7,Action-Crime-Thriller,
2001: A Space Odyssey,English,1968,Yes,659.03,8.40,9,Adventure-Mystery-Sci-Fi,
2012,English,2009,Yes,1400.31,5.80,8,Action-Adventure-Drama-Sci-Fi-Thriller,
22 Bullets (L'immortel),Foreign Language,2010,Yes,700.41,6.60,7,Action-Crime-Thriller,
27 Dresses,English,2008,Yes,702.02,6.00,NA,Comedy-Romance,
3 Idiots,Hindi,2009,Yes,949.63,8.20,9,Comedy-Drama-Musical-Romance,
3:10 to Yuma,English,2007,Yes,702.10,7.80,8,Action-Crime-Drama-Western,
300,English,2006,Yes,1393.47,7.80,9,Action-Fantasy-History-War,
40 Days and 40 Nights,English,2002,Yes,881.74,5.40,NA,Comedy-Romance-Drama,
50 First Dates,English,2004,Yes,699.78,6.80,NA,Comedy-Romance,
88 Minutes,English,2007,Yes,700.86,5.80,NA,Drama-Mystery-Thriller,
9,English,2009,Yes,759.41,7.00,NA,Animation-Action-Adventure-Fantasy-Mystery-Sci-Fi-,
9 Songs,English,2004,Yes,695.45,4.90,4,Drama-Music-Romance,
9th Company,English,2005,No,1280.09,7.20,NA,Action-Drama-History-War,
A Beautiful Mind,English,2001,Yes,700.74,8.00,10,Biography-Drama,
A Bug's Life,English,1998,Yes,971.43,7.30,NA,Animation-Adventure-Comedy-Family,
A Clockwork Orange,English,1971,Yes,692.54,8.50,9,Crime-Drama-Sci-Fi,
A Few Good Men,English,1992,Yes,716.30,7.60,NA,Crime-Drama-Mystery-Thriller,
A History of Violence,English,2005,Yes,950.48,7.60,7,Action-Crime-Drama-Mystery-Thriller,
A Knight's Tale,English,2001,Yes,700.92,6.60,7,Action-Adventure-Drama-Romance,
A Lot Like Love,English,2005,Yes,1036.62,6.40,NA,Comedy-Drama-Romance,
A Mighty Heart,English,2007,Yes,700.73,6.70,7,Biography-Drama-History-Thriller-War,
A Nightmare on Elm Street,English,2010,Yes,708.78,5.10,NA,Horror-Mystery-Thriller,
A Walk to Remember,English,2002,Yes,699.55,7.10,NA,Drama-Romance,
A Wednesday,Hindi,2008,Yes,694.23,8.20,9,Drama-Thriller,
Aaja Nachle,Hindi,2007,Yes,699.45,6.40,NA,Drama-Musical,
Aakrosh,Hindi,2010,Yes,904.90,7.00,7,Action-Drama-Thriller,
Aamir,Hindi,2008,Yes,699.84,7.50,8,Drama-Thriller,
Ab Tak Chhappan,Hindi,2004,Yes,753.23,7.60,8,Crime,
Abduction,English,2011,Yes,893.37,4.30,NA,Action-Drama-Mystery-Thriller,
