Language		Year	Movie Name
English		1997	"Click" The Body Beautiful
English		1997	"Comedy Now!" Russell Peters: Show Me the Funny
English		2009	"The Penguins of Madagascar" Happy King Julien Day!
English		2009	(500) Days of Summer
English		1971	10 Rillington Place
English		1999	10 Things I Hate About You
English		2008	10,000 BC
English		2000	100 Girls
Telugu		2011	100% Love
English		2003	11:14
English		1957	12 Angry Men
English		2010	127 Hours
English		2009	17 Again
English		2003	2 Fast 2 Furious
English		1968	2001: A Space Odyssey
English		2009	2012
Foreign Language	2010	22 Bullets (L'immortel)
English		2008	27 Dresses
Hindi		2009	3 Idiots
English		2007	3:10 to Yuma
English		2006	300
English		2002	40 Days and 40 Nights
English		2004	50 First Dates
English		2007	88 Minutes
English		2009	9
English		2004	9 Songs
English		2005	9th Company
English		2001	A Beautiful Mind
English		1998	A Bug's Life
English		1971	A Clockwork Orange
English		1992	A Few Good Men
English		2005	A History of Violence
English		2001	A Knight's Tale
English		2005	A Lot Like Love
English		2007	A Mighty Heart
English		2010	A Nightmare on Elm Street
English		2002	A Walk to Remember
Hindi		2008	A Wednesday
Hindi		2007	Aaja Nachle
Hindi		2010	Aakrosh
Hindi		2008	Aamir
Hindi		2004	Ab Tak Chhappan
English		2011	Abduction
English		2006	Accepted
English		1994	Ace Ventura: Pet Detective
English		1995	Ace Ventura: When Nature Calls
Marathi		2004	Aga Bai Arecha
English		2003	Agent Cody Banks
Hindi		NA	Agneepath CAMRip 1 DDR
English		2009	Agora
Hindi		2006	Ahista Ahista
English		1997	Air Force One
Marathi		2010	Ajab Lagnachi Gajab Gosht
Telugu		2011	Ala Modalaindi
English		1992	Aladdin
English		1994	Aladdin: The Return of Jafar
English		2010	Alice in Wonderland
English		1979	Alien
English		1997	Alien Quadrilogy
English		2008	Alien Raiders
English		1997	Alien: Resurrection
English		1992	Alien³
English		1986	Aliens
English		2000	All the Pretty Horses
English		2000	Almost Famous
Foreign Language	2007	Alone
English		2006	Alpha Dog
English		2007	Alvin and the Chipmunks
English		2009	Alvin and the Chipmunks: The Squeakquel
English		1984	Amadeus
English		2001	Amelie (Le fabuleux destin d'Amélie Poulain)
English		2010	American Bandits: Frank and Jesse James
English		1999	American Beauty
English		2007	American Gangster
English		1998	American History X
English		1999	American Pie
English		2001	American Pie 2
English		1999	American Pie Collection
English		2005	American Pie Presents Band Camp
English		2007	American Pie Presents Beta House
English		2006	American Pie Presents The Naked Mile
English		2009	American Pie Presents: The Book of Love
English		2000	American Psycho
English		2003	American Wedding
English		2009	An Education
English		1999	An Ideal Husband
Tamil		2003	Anbe Sivam
Hindi		1994	Andaz Apna Apna
Marathi		NA	Andhala Magato Dola
