"position","const","created","modified","description","Title","Title type","Directors","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"1","tt0054215","Tue Oct 19 16:57:29 2010","Tue Oct 19 16:57:29 2010","","Psycho","Feature Film","Alfred Hitchcock","8.7","109","1960","horror, mystery, thriller","181962","1960-06-16","http://www.imdb.com/title/tt0054215/"
"2","tt0073195","Tue Oct 19 16:57:29 2010","Tue Oct 19 16:57:29 2010","","Jaws","Feature Film","Steven Spielberg","8.2","124","1975","thriller","175542","1975-06-20","http://www.imdb.com/title/tt0073195/"
"3","tt0070047","Tue Oct 19 16:57:29 2010","Tue Oct 19 16:57:29 2010","","The Exorcist","Feature Film","William Friedkin","8.1","122","1973","horror, thriller","139026","1973-12-26","http://www.imdb.com/title/tt0070047/"
"4","tt0053125","Tue Oct 19 16:57:29 2010","Tue Oct 19 16:57:29 2010","","North by Northwest","Feature Film","Alfred Hitchcock","8.6","131","1959","adventure, mystery, romance, thriller","112796","1959-07-17","http://www.imdb.com/title/tt0053125/"
"5","tt0102926","Tue Oct 19 16:57:29 2010","Tue Oct 19 16:57:29 2010","","The Silence of the Lambs","Feature Film","Jonathan Demme","8.7","118","1991","thriller","323636","1991-01-30","http://www.imdb.com/title/tt0102926/"
"6","tt0078748","Tue Oct 19 16:57:29 2010","Tue Oct 19 16:57:29 2010","","Alien","Feature Film","Ridley Scott","8.5","117","1979","horror, sci_fi","227289","1979-05-25","http://www.imdb.com/title/tt0078748/"
"7","tt0056869","Tue Oct 19 16:57:29 2010","Tue Oct 19 16:57:29 2010","","The Birds","Feature Film","Alfred Hitchcock","7.9","119","1963","horror, thriller","64071","1963-03-28","http://www.imdb.com/title/tt0056869/"
"8","tt0067116","Tue Oct 19 16:57:29 2010","Tue Oct 19 16:57:29 2010","","The French Connection","Feature Film","William Friedkin","7.9","104","1971","action, crime, thriller","40568","1971-10-07","http://www.imdb.com/title/tt0067116/"
"9","tt0063522","Tue Oct 19 16:57:29 2010","Tue Oct 19 16:57:29 2010","","Rosemary's Baby","Feature Film","Roman Polanski","8.0","136","1968","drama, horror, mystery","67939","1968-06-12","http://www.imdb.com/title/tt0063522/"
"10","tt0082971","Tue Oct 19 16:57:29 2010","Tue Oct 19 16:57:29 2010","","Raiders of the Lost Ark","Feature Film","Steven Spielberg","8.7","115","1981","action, adventure","299691","1981-06-12","http://www.imdb.com/title/tt0082971/"
"11","tt0068646","Tue Oct 19 16:57:30 2010","Tue Oct 19 16:57:30 2010","","The Godfather","Feature Film","Francis Ford Coppola","9.2","175","1972","crime, drama","510612","1972-03-15","http://www.imdb.com/title/tt0068646/"
"12","tt0024216","Tue Oct 19 16:57:30 2010","Tue Oct 19 16:57:30 2010","","King Kong","Feature Film","","8.0","100","1933","adventure, fantasy, horror","44856","1933-03-07","http://www.imdb.com/title/tt0024216/"
"13","tt0061418","Tue Oct 19 16:57:30 2010","Tue Oct 19 16:57:30 2010","","Bonnie and Clyde","Feature Film","Arthur Penn","8.0","112","1967","biography, crime, drama","48634","1967-08-04","http://www.imdb.com/title/tt0061418/"
"14","tt0047396","Tue Oct 19 16:57:30 2010","Tue Oct 19 16:57:30 2010","","Rear Window","Feature Film","Alfred Hitchcock","8.7","112","1954","mystery, romance, thriller","147888","1954-08-01","http://www.imdb.com/title/tt0047396/"
"15","tt0068473","Tue Oct 19 16:57:30 2010","Tue Oct 19 16:57:30 2010","","Deliverance","Feature Film","John Boorman","7.9","110","1972","adventure, drama, thriller","43067","1972-07-30","http://www.imdb.com/title/tt0068473/"
"16","tt0071315","Tue Oct 19 16:57:30 2010","Tue Oct 19 16:57:30 2010","","Chinatown","Feature Film","Roman Polanski","8.4","130","1974","crime, drama, mystery, thriller","98631","1974-06-20","http://www.imdb.com/title/tt0071315/"
"17","tt0056218","Tue Oct 19 16:57:30 2010","Tue Oct 19 16:57:30 2010","","The Manchurian Candidate","Feature Film","John Frankenheimer","8.2","126","1962","drama, mystery, thriller","40902","1962-10-24","http://www.imdb.com/title/tt0056218/"
"18","tt0052357","Tue Oct 19 16:57:30 2010","Tue Oct 19 16:57:30 2010","","Vertigo","Feature Film","Alfred Hitchcock","8.5","128","1958","crime, mystery, romance, thriller","113036","1958-05-09","http://www.imdb.com/title/tt0052357/"
"19","tt0057115","Tue Oct 19 16:57:30 2010","Tue Oct 19 16:57:30 2010","","The Great Escape","Feature Film","John Sturges","8.3","172","1963","adventure, drama, history, war","77252","1963-06-20","http://www.imdb.com/title/tt0057115/"
"20","tt0044706","Tue Oct 19 16:57:30 2010","Tue Oct 19 16:57:30 2010","","High Noon","Feature Film","Fred Zinnemann","8.2","85","1952","drama, western","41763","1952-07-07","http://www.imdb.com/title/tt0044706/"
"21","tt0066921","Tue Oct 19 16:57:31 2010","Tue Oct 19 16:57:31 2010","","A Clockwork Orange","Feature Film","Stanley Kubrick","8.5","136","1971","crime, drama, sci_fi","243721","1971-12-19","http://www.imdb.com/title/tt0066921/"
"22","tt0075314","Tue Oct 19 16:57:31 2010","Tue Oct 19 16:57:31 2010","","Taxi Driver","Feature Film","Martin Scorsese","8.5","113","1976","drama, thriller","206910","1976-02-08","http://www.imdb.com/title/tt0075314/"
"23","tt0056172","Tue Oct 19 16:57:31 2010","Tue Oct 19 16:57:31 2010","","Lawrence of Arabia","Feature Film","David Lean","8.5","216","1962","adventure, biography, drama, history, war","94916","1962-12-10","http://www.imdb.com/title/tt0056172/"
"24","tt0036775","Tue Oct 19 16:57:31 2010","Tue Oct 19 16:57:31 2010","","Double Indemnity","Feature Film","Billy Wilder","8.6","107","1944","crime, film_noir, thriller","46869","1944-04-24","http://www.imdb.com/title/tt0036775/"
"25","tt0120338","Tue Oct 19 16:57:31 2010","Tue Oct 19 16:57:31 2010","","Titanic","Feature Film","James Cameron","7.5","194","1997","adventure, drama, history, romance","314527","1997-11-01","http://www.imdb.com/title/tt0120338/"
"26","tt0033870","Tue Oct 19 16:57:31 2010","Tue Oct 19 16:57:31 2010","","The Maltese Falcon","Feature Film","John Huston","8.3","","1941","crime, film_noir, mystery, thriller","61488","1941-10-03","http://www.imdb.com/title/tt0033870/"
"27","tt0076759","Tue Oct 19 16:57:31 2010","Tue Oct 19 16:57:31 2010","","Star Wars","Feature Film","George Lucas","8.8","121","1977","action, adventure, fantasy, sci_fi","392336","1977-05-25","http://www.imdb.com/title/tt0076759/"
"28","tt0093010","Tue Oct 19 16:57:31 2010","Tue Oct 19 16:57:31 2010","","Fatal Attraction","Feature Film","Adrian Lyne","6.8","119","1987","drama, thriller","26878","1987-09-11","http://www.imdb.com/title/tt0093010/"
"29","tt0081505","Tue Oct 19 16:57:31 2010","Tue Oct 19 16:57:31 2010","","The Shining","Feature Film","Stanley Kubrick","8.5","","1980","drama, horror","236208","1980-05-23","http://www.imdb.com/title/tt0081505/"
"30","tt0077416","Tue Oct 19 16:57:31 2010","Tue Oct 19 16:57:31 2010","","The Deer Hunter","Feature Film","Michael Cimino","8.2","182","1978","drama, war","111262","1978-12-08","http://www.imdb.com/title/tt0077416/"
"31","tt0075860","Tue Oct 19 16:57:31 2010","Tue Oct 19 16:57:31 2010","","Close Encounters of the Third Kind","Feature Film","Steven Spielberg","7.8","","1977","drama, sci_fi","71381","1977-11-15","http://www.imdb.com/title/tt0075860/"
"32","tt0044079","Tue Oct 19 16:57:32 2010","Tue Oct 19 16:57:32 2010","","Strangers on a Train","Feature Film","Alfred Hitchcock","8.3","101","1951","crime, film_noir, mystery, romance, thriller","43508","1951-06-30","http://www.imdb.com/title/tt0044079/"
"33","tt0106977","Tue Oct 19 16:57:32 2010","Tue Oct 19 16:57:32 2010","","The Fugitive","Feature Film","Andrew Davis","7.8","130","1993","action, crime, drama, mystery, thriller","115623","1993-08-06","http://www.imdb.com/title/tt0106977/"
"34","tt0048424","Tue Oct 19 16:57:32 2010","Tue Oct 19 16:57:32 2010","","The Night of the Hunter","Feature Film","Charles Laughton","8.2","93","1955","drama, film_noir, thriller","31966","1955-07-26","http://www.imdb.com/title/tt0048424/"
"35","tt0107290","Tue Oct 19 16:57:32 2010","Tue Oct 19 16:57:32 2010","","Jurassic Park","Feature Film","Steven Spielberg","7.9","127","1993","adventure, sci_fi","196687","1993-06-09","http://www.imdb.com/title/tt0107290/"
"36","tt0062765","Tue Oct 19 16:57:32 2010","Tue Oct 19 16:57:32 2010","","Bullitt","Feature Film","Peter Yates","7.4","114","1968","action, crime, drama, mystery, thriller","24661","1968-10-17","http://www.imdb.com/title/tt0062765/"
"37","tt0034583","Tue Oct 19 16:57:32 2010","Tue Oct 19 16:57:32 2010","","Casablanca","Feature Film","Michael Curtiz","8.7","102","1942","drama, romance, war","201732","1942-11-26","http://www.imdb.com/title/tt0034583/"
"38","tt0038787","Tue Oct 19 16:57:32 2010","Tue Oct 19 16:57:32 2010","","Notorious","Feature Film","Alfred Hitchcock","8.2","101","1946","film_noir, romance, thriller","38069","1946-08-15","http://www.imdb.com/title/tt0038787/"
"39","tt0095016","Tue Oct 19 16:57:32 2010","Tue Oct 19 16:57:32 2010","","Die Hard","Feature Film","John McTiernan","8.3","131","1988","action, thriller","242085","1988-07-15","http://www.imdb.com/title/tt0095016/"
"40","tt0062622","Tue Oct 19 16:57:32 2010","Tue Oct 19 16:57:32 2010","","2001: A Space Odyssey","Feature Film","Stanley Kubrick","8.4","141","1968","adventure, sci_fi","196202","1968-04-02","http://www.imdb.com/title/tt0062622/"
"41","tt0066999","Tue Oct 19 16:57:32 2010","Tue Oct 19 16:57:32 2010","","Dirty Harry","Feature Film","Don Siegel","7.8","102","1971","action, crime, thriller","53717","1971-12-22","http://www.imdb.com/title/tt0066999/"
"42","tt0088247","Tue Oct 19 16:57:32 2010","Tue Oct 19 16:57:32 2010","","The Terminator","Feature Film","James Cameron","8.1","107","1984","action, sci_fi","236561","1984-10-26","http://www.imdb.com/title/tt0088247/"
