"position","const","created","modified","description","Title","Title type","Directors","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"1","tt0053291","Tue Oct 19 16:57:16 2010","Tue Oct 19 16:57:16 2010","","Some Like It Hot","Feature Film","Billy Wilder","8.4","120","1959","comedy","83383","1959-03-29","http://www.imdb.com/title/tt0053291/"
"2","tt0084805","Tue Oct 19 16:57:16 2010","Tue Oct 19 16:57:16 2010","","Tootsie","Feature Film","Sydney Pollack","7.4","116","1982","comedy, drama, romance","38320","1982-12-01","http://www.imdb.com/title/tt0084805/"
"3","tt0057012","Tue Oct 19 16:57:16 2010","Tue Oct 19 16:57:16 2010","","Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","Feature Film","Stanley Kubrick","8.6","95","1964","comedy, drama","185069","1964-01-29","http://www.imdb.com/title/tt0057012/"
"4","tt0075686","Tue Oct 19 16:57:16 2010","Tue Oct 19 16:57:16 2010","","Annie Hall","Feature Film","Woody Allen","8.2","93","1977","comedy, drama, romance","82918","1977-04-20","http://www.imdb.com/title/tt0075686/"
"5","tt0023969","Tue Oct 19 16:57:16 2010","Tue Oct 19 16:57:16 2010","","Duck Soup","Feature Film","Leo McCarey","8.1","68","1933","comedy, musical","31885","1933-11-17","http://www.imdb.com/title/tt0023969/"
"6","tt0071230","Tue Oct 19 16:57:16 2010","Tue Oct 19 16:57:16 2010","","Blazing Saddles","Feature Film","Mel Brooks","7.7","93","1974","comedy, western","52617","1974-02-07","http://www.imdb.com/title/tt0071230/"
"7","tt0066026","Tue Oct 19 16:57:16 2010","Tue Oct 19 16:57:16 2010","","MASH","Feature Film","Robert Altman","7.7","116","1970","comedy, war, drama","32960","1970-01-25","http://www.imdb.com/title/tt0066026/"
"8","tt0025316","Tue Oct 19 16:57:17 2010","Tue Oct 19 16:57:17 2010","","It Happened One Night","Feature Film","Frank Capra","8.3","105","1934","comedy, romance","31044","1934-02-22","http://www.imdb.com/title/tt0025316/"
"9","tt0061722","Tue Oct 19 16:57:17 2010","Tue Oct 19 16:57:17 2010","","The Graduate","Feature Film","Mike Nichols","8.2","106","1967","comedy, drama, romance","99215","1967-12-21","http://www.imdb.com/title/tt0061722/"
"10","tt0080339","Tue Oct 19 16:57:17 2010","Tue Oct 19 16:57:17 2010","","Airplane!","Feature Film","Jim Abrahams, David Zucker","7.8","88","1980","comedy, romance","72199","1980-07-02","http://www.imdb.com/title/tt0080339/"
"11","tt0063462","Tue Oct 19 16:57:17 2010","Tue Oct 19 16:57:17 2010","","The Producers","Feature Film","Mel Brooks","7.7","88","1968","comedy, music","22333","1968-03-18","http://www.imdb.com/title/tt0063462/"
"12","tt0026778","Tue Oct 19 16:57:17 2010","Tue Oct 19 16:57:17 2010","","A Night at the Opera","Feature Film","Sam Wood","8.0","96","1935","comedy, musical","15975","1935-11-08","http://www.imdb.com/title/tt0026778/"
"13","tt0072431","Tue Oct 19 16:57:17 2010","Tue Oct 19 16:57:17 2010","","Young Frankenstein","Feature Film","Mel Brooks","8.0","106","1974","comedy, sci_fi","64974","1974-12-15","http://www.imdb.com/title/tt0072431/"
"14","tt0029947","Tue Oct 19 16:57:17 2010","Tue Oct 19 16:57:17 2010","","Bringing Up Baby","Feature Film","Howard Hawks","8.1","102","1938","comedy, romance","26286","1938-02-16","http://www.imdb.com/title/tt0029947/"
"15","tt0032904","Tue Oct 19 16:57:17 2010","Tue Oct 19 16:57:17 2010","","The Philadelphia Story","Feature Film","George Cukor","8.1","112","1940","comedy, romance","32141","1940-12-23","http://www.imdb.com/title/tt0032904/"
"16","tt0045152","Tue Oct 19 16:57:17 2010","Tue Oct 19 16:57:17 2010","","Singin' in the Rain","Feature Film","Stanley Donen, Gene Kelly","8.4","103","1952","comedy, musical, romance","68392","1952-03-27","http://www.imdb.com/title/tt0045152/"
"17","tt0063374","Tue Oct 19 16:57:17 2010","Tue Oct 19 16:57:17 2010","","The Odd Couple","Feature Film","Gene Saks","7.7","105","1968","comedy, romance","13339","1968-05-02","http://www.imdb.com/title/tt0063374/"
"18","tt0017925","Tue Oct 19 16:57:17 2010","Tue Oct 19 16:57:17 2010","","The General","Feature Film","Clyde Bruckman, Buster Keaton","8.4","107","1926","action, adventure, comedy, romance, war","25082","1926-12-31","http://www.imdb.com/title/tt0017925/"
"19","tt0032599","Tue Oct 19 16:57:18 2010","Tue Oct 19 16:57:18 2010","","His Girl Friday","Feature Film","Howard Hawks","8.1","92","1940","comedy, drama, romance","25223","1940-01-11","http://www.imdb.com/title/tt0032599/"
"20","tt0053604","Tue Oct 19 16:57:18 2010","Tue Oct 19 16:57:18 2010","","The Apartment","Feature Film","Billy Wilder","8.4","125","1960","romance, comedy, drama","46927","1960-06-15","http://www.imdb.com/title/tt0053604/"
"21","tt0095159","Tue Oct 19 16:57:18 2010","Tue Oct 19 16:57:18 2010","","A Fish Called Wanda","Feature Film","Charles Crichton","7.7","108","1988","comedy, crime","59213","1988-07-07","http://www.imdb.com/title/tt0095159/"
"22","tt0041090","Tue Oct 19 16:57:18 2010","Tue Oct 19 16:57:18 2010","","Adam's Rib","Feature Film","George Cukor","7.6","101","1949","comedy, drama, romance","9245","1949-11-18","http://www.imdb.com/title/tt0041090/"
"23","tt0098635","Tue Oct 19 16:57:18 2010","Tue Oct 19 16:57:18 2010","","When Harry Met Sally...","Feature Film","Rob Reiner","7.7","96","1989","comedy, drama, romance","64264","1989-07-12","http://www.imdb.com/title/tt0098635/"
"24","tt0042276","Tue Oct 19 16:57:18 2010","Tue Oct 19 16:57:18 2010","","Born Yesterday","Feature Film","George Cukor","7.6","103","1950","comedy, drama, romance","4359","1950-12-25","http://www.imdb.com/title/tt0042276/"
"25","tt0015864","Tue Oct 19 16:57:18 2010","Tue Oct 19 16:57:18 2010","","The Gold Rush","Feature Film","Charles Chaplin","8.3","","1925","adventure, comedy, family, romance, western","27390","1925-06-26","http://www.imdb.com/title/tt0015864/"
"26","tt0078841","Tue Oct 19 16:57:18 2010","Tue Oct 19 16:57:18 2010","","Being There","Feature Film","Hal Ashby","8.0","130","1979","drama, comedy","29098","1979-12-19","http://www.imdb.com/title/tt0078841/"
"27","tt0129387","Tue Oct 19 16:57:18 2010","Tue Oct 19 16:57:18 2010","","There's Something About Mary","Feature Film","Bobby Farrelly, Peter Farrelly","7.2","119","1998","comedy, romance","119572","1998-07-15","http://www.imdb.com/title/tt0129387/"
"28","tt0087332","Tue Oct 19 16:57:18 2010","Tue Oct 19 16:57:18 2010","","Ghostbusters","Feature Film","Ivan Reitman","7.8","105","1984","comedy, fantasy","109625","1984-06-07","http://www.imdb.com/title/tt0087332/"
"29","tt0088258","Tue Oct 19 16:57:18 2010","Tue Oct 19 16:57:18 2010","","This Is Spinal Tap","Feature Film","Rob Reiner","8.0","82","1984","comedy, music","59685","1984-03-02","http://www.imdb.com/title/tt0088258/"
"30","tt0036613","Tue Oct 19 16:57:19 2010","Tue Oct 19 16:57:19 2010","","Arsenic and Old Lace","Feature Film","Frank Capra","8.1","118","1944","comedy, crime","35093","1944-09-01","http://www.imdb.com/title/tt0036613/"
"31","tt0093822","Tue Oct 19 16:57:19 2010","Tue Oct 19 16:57:19 2010","","Raising Arizona","Feature Film","Joel Coen","7.5","94","1987","adventure, comedy, crime, mystery","55390","1987-03-06","http://www.imdb.com/title/tt0093822/"
"32","tt0025878","Tue Oct 19 16:57:19 2010","Tue Oct 19 16:57:19 2010","","The Thin Man","Feature Film","W.S. Van Dyke","8.1","91","1934","comedy, crime, drama, mystery, romance","13234","1934-05-25","http://www.imdb.com/title/tt0025878/"
