"position","const","created","modified","description","Title","Title type","Directors","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"1","tt0120737","Mon Sep 20 12:43:49 2010","Mon Sep 20 12:44:38 2010","Peter Jackson brought J.R.R. Tolkein's world of hobbits to stunning life with the three-part LOTR series. Though Return of the King won Best Picture, the first flick remains our sentimental favorite.","The Lord of the Rings: The Fellowship of the Ring","Feature Film","Peter Jackson","8.8","178","2001","action, adventure, fantasy","492902","2001-12-10","http://www.imdb.com/title/tt0120737/"
"2","tt0499549","Mon Sep 20 12:44:46 2010","Mon Sep 20 12:45:21 2010","And you thought James Cameron didn't have anything to surprise you with after the mega-success of Titanic! Talk about a game-changer... film as a whole will never be the same.","Avatar","Feature Film","James Cameron","8.1","162","2009","action, adventure, fantasy, sci_fi","379539","2009-12-10","http://www.imdb.com/title/tt0499549/"
"3","tt1375666","Mon Sep 20 12:45:27 2010","Mon Sep 20 12:46:10 2010","Christopher Nolan bent minds and images (and probably a few actors) in this aggressively 2-D, thoroughly imaginative film about layers and layers of dreams.","Inception","Feature Film","Christopher Nolan","8.9","148","2010","action, adventure, sci_fi, thriller","457038","2010-07-08","http://www.imdb.com/title/tt1375666/"
"4","tt0133093","Mon Sep 20 12:46:20 2010","Mon Sep 20 12:47:21 2010","Never mind those two sequels -- this Wachowski-helmed flick remains a landmark in stunning sci-fi filmmaking.","The Matrix","Feature Film","The Wachowski Brothers, The Wachowski Brothers","8.7","136","1999","action, adventure, sci_fi","491210","1999-03-31","http://www.imdb.com/title/tt0133093/"
"5","tt0101458","Mon Sep 20 12:47:34 2010","Mon Sep 20 12:48:58 2010","Things we take for granted now -- GPS systems, digital-everything, cutting-edge computer systems, global culture racing to catch up with technology -- were first envisioned in this Wim Wenders flick.","Until the End of the World","Feature Film","Wim Wenders","6.7","179","1991","drama, sci_fi","4282","1991-09-12","http://www.imdb.com/title/tt0101458/"
"6","tt0304141","Mon Sep 20 12:49:13 2010","Mon Sep 20 12:49:46 2010","Harry Potter was the dominant cultural phenomenon of the past 20 years, and this Alfonso Cuaron-helmed installment remains our personal favorite.","Harry Potter and the Prisoner of Azkaban","Feature Film","Alfonso Cuarón","7.7","141","2004","adventure, family, fantasy, mystery","152132","2004-05-31","http://www.imdb.com/title/tt0304141/"
"7","tt0121766","Mon Sep 20 12:50:01 2010","Mon Sep 20 12:51:00 2010","Were there any films more anticipated than the Star Wars prequel trilogy? And were there any films more disappointing? This third one managed to redeem some of the damage the first two did.","Star Wars: Episode III - Revenge of the Sith","Feature Film","George Lucas","7.8","140","2005","action, adventure, fantasy, sci_fi","222813","2005-05-15","http://www.imdb.com/title/tt0121766/"
"8","tt0107290","Mon Sep 20 12:51:13 2010","Mon Sep 20 12:51:51 2010","What hath DNA cloning wrought? Steven Spielberg gleefully ran back into thriller territory with this adaptation of the Michael Crichton dinosaur-park book.","Jurassic Park","Feature Film","Steven Spielberg","7.9","127","1993","adventure, sci_fi","196687","1993-06-09","http://www.imdb.com/title/tt0107290/"
"9","tt0103064","Mon Sep 20 12:52:37 2010","Mon Sep 20 12:53:32 2010","James Cameron's sequel to his scrappy action movie of the 80s created a whole new mythology centered around Skynet - and one centered around Linda Hamilton's arms as well!","Terminator 2: Judgment Day","Feature Film","James Cameron","8.6","137","1991","action, sci_fi, thriller","309165","1991-07-01","http://www.imdb.com/title/tt0103064/"
"10","tt0119654","Mon Sep 20 12:53:41 2010","Mon Sep 20 12:54:03 2010","Who says sci-fi can't be funny? Will Smith and Tommy Lee Jones tackled aliens with wit and finesse.","Men in Black","Feature Film","Barry Sonnenfeld","7.1","98","1997","comedy, sci_fi","155170","1997-07-01","http://www.imdb.com/title/tt0119654/"
