"position","const","created","modified","description","Title","Title type","Directors","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"1","tt0133093","Sun Sep 19 22:19:58 2010","Sun Sep 19 22:19:58 2010","","The Matrix","Feature Film","The Wachowski Brothers, The Wachowski Brothers","8.7","136","1999","action, adventure, sci_fi","491210","1999-03-31","http://www.imdb.com/title/tt0133093/"
"2","tt0110912","Sun Sep 19 22:20:11 2010","Sun Sep 19 22:20:11 2010","","Pulp Fiction","Feature Film","Quentin Tarantino","9.0","154","1994","crime, thriller","532826","1994-05","http://www.imdb.com/title/tt0110912/"
"3","tt0167404","Sun Sep 19 22:20:27 2010","Sun Sep 19 22:20:27 2010","","The Sixth Sense","Feature Film","M. Night Shyamalan","8.2","107","1999","drama, mystery, thriller","307891","1999-08-02","http://www.imdb.com/title/tt0167404/"
"4","tt0185937","Sun Sep 19 22:20:41 2010","Sun Sep 19 22:20:41 2010","","The Blair Witch Project","Feature Film","Daniel Myrick, Eduardo Sanchez","6.3","81","1999","horror, mystery","105865","1999-01-25","http://www.imdb.com/title/tt0185937/"
"5","tt0499549","Sun Sep 19 22:20:54 2010","Sun Sep 19 22:20:54 2010","","Avatar","Feature Film","James Cameron","8.1","162","2009","action, adventure, fantasy, sci_fi","379539","2009-12-10","http://www.imdb.com/title/tt0499549/"
"6","tt0117571","Sun Sep 19 22:21:09 2010","Sun Sep 19 22:21:09 2010","","Scream","Feature Film","Wes Craven","7.2","103","1996","crime, horror, mystery, thriller","116130","1996-12-18","http://www.imdb.com/title/tt0117571/"
"7","tt0154420","Sun Sep 19 22:21:28 2010","Sun Sep 19 22:21:28 2010","","The Celebration","Feature Film","","8.1","105","1998","drama","33300","1998-05","http://www.imdb.com/title/tt0154420/"
"8","tt0166924","Sun Sep 19 22:21:52 2010","Sun Sep 19 22:21:52 2010","","Mulholland Dr.","Feature Film","David Lynch","8.0","147","2001","drama, mystery, thriller","126620","2001-05-16","http://www.imdb.com/title/tt0166924/"
"9","tt0105236","Sun Sep 19 22:22:37 2010","Sun Sep 19 22:22:37 2010","","Reservoir Dogs","Feature Film","Quentin Tarantino","8.4","99","1992","crime, mystery, thriller","270490","1992-01-21","http://www.imdb.com/title/tt0105236/"
"10","tt0365748","Sun Sep 19 22:24:19 2010","Sun Sep 19 22:24:19 2010","","Shaun of the Dead","Feature Film","Edgar Wright","8.0","99","2004","comedy, horror","174959","2004-03-29","http://www.imdb.com/title/tt0365748/"
"11","tt1375666","Sun Sep 19 22:25:13 2010","Sun Sep 19 22:25:13 2010","","Inception","Feature Film","Christopher Nolan","8.9","148","2010","action, adventure, sci_fi, thriller","457038","2010-07-08","http://www.imdb.com/title/tt1375666/"
"12","tt0468569","Sun Sep 19 22:25:31 2010","Sun Sep 19 22:25:31 2010","","The Dark Knight","Feature Film","Christopher Nolan","8.9","152","2008","action, crime, drama, thriller","610953","2008-07-14","http://www.imdb.com/title/tt0468569/"
"13","tt0114709","Sun Sep 19 22:25:40 2010","Sun Sep 19 22:25:40 2010","","Toy Story","Feature Film","John Lasseter","8.2","77","1995","animation, adventure, comedy, family, fantasy","215661","1995-11-19","http://www.imdb.com/title/tt0114709/"
