"position","const","created","modified","description","Title","Title type","Directors","You rated","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"1","tt1527186","Wed Oct 26 11:41:53 2011","Wed Oct 26 11:41:53 2011","","Melancholia","Feature Film","Lars von Trier","","7.3","136","2011","drama, sci_fi","43570","2011-05-18","http://www.imdb.com/title/tt1527186/"
"2","tt0046534","Wed Oct 26 12:00:38 2011","Wed Oct 26 12:00:38 2011","","The War of the Worlds","Feature Film","Byron Haskin","","7.1","85","1953","action, horror, sci_fi, thriller","15269","1953-07-29","http://www.imdb.com/title/tt0046534/"
"3","tt0069293","Wed Oct 26 12:03:00 2011","Wed Oct 26 12:03:00 2011","","Solaris","Feature Film","Andrey Tarkovskiy","","8.0","167","1972","adventure, drama, mystery, romance, sci_fi","26817","1972-03-20","http://www.imdb.com/title/tt0069293/"
"4","tt0063442","Wed Oct 26 12:03:41 2011","Wed Oct 26 12:03:41 2011","","Planet of the Apes","Feature Film","Franklin J. Schaffner","","8.0","112","1968","adventure, sci_fi, thriller","79465","1968-02-08","http://www.imdb.com/title/tt0063442/"
"5","tt0043456","Wed Oct 26 12:11:54 2011","Wed Oct 26 12:11:54 2011","","The Day the Earth Stood Still","Feature Film","Robert Wise","","7.9","92","1951","drama, sci_fi, thriller","42780","1951-09-18","http://www.imdb.com/title/tt0043456/"
"6","tt1616195","Fri Nov  4 22:00:32 2011","Fri Nov  4 22:00:32 2011","","J. Edgar","Feature Film","Clint Eastwood","","6.9","137","2011","biography, crime, drama, history","27855","2011-11-03","http://www.imdb.com/title/tt1616195/"
"7","tt1253864","Sun Nov 27 08:25:50 2011","Sun Nov 27 08:25:50 2011","","Immortals","Feature Film","Tarsem Singh Dhandwar","","6.2","110","2011","action, drama, fantasy","56806","2011-11-10","http://www.imdb.com/title/tt1253864/"
"8","tt1402488","Sun Nov 27 08:25:59 2011","Sun Nov 27 08:25:59 2011","","Happy Feet Two","Feature Film","George Miller","","5.9","100","2011","animation, comedy, family, music","7630","2011-11-17","http://www.imdb.com/title/tt1402488/"
"9","tt1291584","Mon Dec 19 06:46:49 2011","Mon Dec 19 06:46:49 2011","","Warrior","Feature Film","Gavin O'Connor","","8.2","140","2011","action, drama, sport","81600","2011-09-09","http://www.imdb.com/title/tt1291584/"
"10","tt0118928","Mon Dec 19 06:54:06 2011","Mon Dec 19 06:54:06 2011","","Dante's Peak","Feature Film","Roger Donaldson","","5.7","108","1997","action, adventure, thriller","32329","1997-02-07","http://www.imdb.com/title/tt0118928/"
"11","tt0073195","Mon Dec 19 06:55:46 2011","Mon Dec 19 06:55:46 2011","","Jaws","Feature Film","Steven Spielberg","","8.2","124","1975","thriller","189614","1975-06-20","http://www.imdb.com/title/tt0073195/"
"12","tt1060277","Mon Dec 19 06:56:52 2011","Mon Dec 19 06:56:52 2011","","Cloverfield","Feature Film","Matt Reeves","","7.3","85","2008","horror, mystery, sci_fi","176767","2008-01-16","http://www.imdb.com/title/tt1060277/"
"13","tt0116225","Mon Dec 19 06:57:34 2011","Mon Dec 19 06:57:34 2011","","Escape from L.A.","Feature Film","John Carpenter","","5.4","101","1996","action, adventure, sci_fi, thriller","29974","1996-08-09","http://www.imdb.com/title/tt0116225/"
"14","tt1640459","Mon Dec 19 06:58:13 2011","Mon Dec 19 06:58:13 2011","","Hobo with a Shotgun","Feature Film","Jason Eisener","","6.2","86","2011","action, thriller","19252","2011-01-21","http://www.imdb.com/title/tt1640459/"
"15","tt0112851","Mon Dec 19 06:58:27 2011","Mon Dec 19 06:58:27 2011","","Desperado","Feature Film","Robert Rodriguez","","7.1","104","1995","action, crime, thriller, western","73343","1995-05","http://www.imdb.com/title/tt0112851/"
"16","tt0091203","Mon Dec 19 06:58:43 2011","Mon Dec 19 06:58:43 2011","","Highlander","Feature Film","Russell Mulcahy","","7.2","116","1986","action, fantasy","55653","1986-01","http://www.imdb.com/title/tt0091203/"
"17","tt0290747","Mon Dec 19 07:00:06 2011","Mon Dec 19 07:00:06 2011","","Man-Thing","Feature Film","Brett Leonard","","4.1","97","2005","action, horror, sci_fi","3169","2005-04-21","http://www.imdb.com/title/tt0290747/"
"18","tt0357277","Mon Dec 19 07:00:09 2011","Mon Dec 19 07:00:09 2011","","Elektra","Feature Film","Rob Bowman","","4.8","97","2005","action, crime, fantasy, thriller","38007","2005-01-08","http://www.imdb.com/title/tt0357277/"
"19","tt1124035","Mon Dec 26 22:35:19 2011","Mon Dec 26 22:35:19 2011","","The Ides of March","Feature Film","George Clooney","","7.3","101","2011","drama","57161","2011-08-31","http://www.imdb.com/title/tt1124035/"
"20","tt1401152","Mon Dec 26 22:45:28 2011","Mon Dec 26 22:45:28 2011","","Unknown","Feature Film","Jaume Collet-Serra","","6.9","113","2011","drama, mystery, thriller","87685","2011-02-16","http://www.imdb.com/title/tt1401152/"
"21","tt1521197","Mon Dec 26 22:46:53 2011","Mon Dec 26 22:46:53 2011","","Anonymous","Feature Film","Roland Emmerich","","6.8","130","2011","drama, history, thriller","11905","2011-09-11","http://www.imdb.com/title/tt1521197/"
"22","tt0409847","Mon Dec 26 22:47:00 2011","Mon Dec 26 22:47:00 2011","","Cowboys & Aliens","Feature Film","Jon Favreau","","6.2","119","2011","action, sci_fi, thriller, western","75804","2011-07-29","http://www.imdb.com/title/tt0409847/"
"23","tt1204342","Mon Dec 26 22:47:05 2011","Mon Dec 26 22:47:05 2011","","The Muppets","Feature Film","James Bobin","","7.6","103","2011","comedy, drama, family, musical","27243","2011-11-04","http://www.imdb.com/title/tt1204342/"
"24","tt1449283","Mon Dec 26 22:47:22 2011","Mon Dec 26 22:47:22 2011","","Winnie the Pooh","Feature Film","Stephen J. Anderson, Don Hall","","7.3","63","2011","animation, family, musical","6157","2011-04-06","http://www.imdb.com/title/tt1449283/"
"25","tt1438176","Mon Dec 26 22:47:24 2011","Mon Dec 26 22:47:24 2011","","Fright Night","Feature Film","Craig Gillespie","","6.5","106","2011","comedy, horror","33326","2011-08-14","http://www.imdb.com/title/tt1438176/"
"26","tt1515091","Mon Dec 26 22:47:28 2011","Mon Dec 26 22:47:28 2011","","Sherlock Holmes: A Game of Shadows","Feature Film","Guy Ritchie","","7.7","129","2011","action, adventure, crime, mystery, thriller","78161","2011-12-10","http://www.imdb.com/title/tt1515091/"
"27","tt1345836","Sat Dec 31 01:43:48 2011","Sat Dec 31 01:43:48 2011","","The Dark Knight Rises","Feature Film","Christopher Nolan","","","","2012","action, crime, drama, thriller","0","2012-07-19","http://www.imdb.com/title/tt1345836/"
"28","tt0119174","Sat Dec 31 02:10:18 2011","Sat Dec 31 02:10:18 2011","","The Game","Feature Film","David Fincher","","7.7","129","1997","drama, mystery, thriller","116890","1997-09-12","http://www.imdb.com/title/tt0119174/"
"29","tt1496025","Sat Dec 31 02:12:47 2011","Sat Dec 31 02:12:47 2011","","Underworld: Awakening","Feature Film","Måns Mårlind, Björn Stein","","6.6","88","2012","action, fantasy, horror","27944","2012-01-19","http://www.imdb.com/title/tt1496025/"
"30","tt0816462","Sat Dec 31 02:14:42 2011","Sat Dec 31 02:14:42 2011","","Conan the Barbarian","Feature Film","Marcus Nispel","","5.2","113","2011","action, adventure, fantasy","37158","2011-08-14","http://www.imdb.com/title/tt0816462/"
"31","tt1071875","Sat Dec 31 02:14:52 2011","Sat Dec 31 02:14:52 2011","","Ghost Rider: Spirit of Vengeance","Feature Film","Neveldine, Taylor","","4.8","95","2011","action, fantasy, thriller","16201","2011-12-11","http://www.imdb.com/title/tt1071875/"
"32","tt0106950","Sat Dec 31 02:19:55 2011","Sat Dec 31 02:19:55 2011","","Fortress","Feature Film","Stuart Gordon","","5.6","95","1992","action, sci_fi, thriller","10617","1992-12-18","http://www.imdb.com/title/tt0106950/"
"33","tt0080761","Sat Dec 31 02:28:35 2011","Sat Dec 31 02:28:35 2011","","Friday the 13th","Feature Film","Sean S. Cunningham","","6.3","95","1980","horror, mystery, thriller","38840","1980-05-09","http://www.imdb.com/title/tt0080761/"
"34","tt0082418","Sat Dec 31 02:29:03 2011","Sat Dec 31 02:29:03 2011","","Friday the 13th Part 2","Feature Film","Steve Miner","","5.7","87","1981","horror, mystery, thriller","18594","1981-05-01","http://www.imdb.com/title/tt0082418/"
"35","tt0083972","Sat Dec 31 02:29:09 2011","Sat Dec 31 02:29:09 2011","","Friday the 13th Part III","Feature Film","Steve Miner","","5.2","95","1982","horror, thriller","15533","1982-08-13","http://www.imdb.com/title/tt0083972/"
